best_lr,threshold,test_macro_f1,test_macro_recall,test_recall_pos,test_roc_auc,test_accuracy,test_brier,test_ece,model,split_seed,n_features,fields
0.01,0.4,0.8598396620323846,0.8934255027146463,0.8673681961433685,0.9553284435004994,0.8812629764563011,0.15591262387789023,0.22832841679030075,tags_drop_claim,2,24,cta+evidence+theme
0.003,0.5,0.76572738546743,0.8308630954852252,0.7337214892366861,0.9478311782229059,0.7855212128334704,0.22927313463472368,0.24660986131049364,tags_drop_cta,2,28,claim+evidence+theme
0.01,0.4,0.883708542955028,0.9087158537205386,0.8976550397948827,0.9568561153406543,0.9035531006385396,0.16022198777556143,0.30690528530656636,tags_drop_evidence,2,31,claim+cta+theme
0.01,0.45,0.7980103585882886,0.7951353857639106,0.7309558466763707,0.8101270223577599,0.8055668427468509,0.1858916689664736,0.16950904633726582,tags_full,3,36,claim+cta+evidence+theme
0.001,0.5,0.37854641333414507,0.47143964212117623,0.8000970402717128,0.360059028874823,0.41802112962210486,0.25064331429785774,0.0858497016184741,tags_theme_only,3,11,theme
0.003,0.45,0.6197476422729682,0.6560917446066926,0.8583212032993692,0.5893035274528828,0.6232222673709874,0.23863278631436524,0.07845675062759451,tags_claim_only,3,12,claim
0.01,0.35,0.8421571063227625,0.8439113504386739,0.8335759340126152,0.8514704475740865,0.8455912230800487,0.18400568573399734,0.21965953769543,tags_cta_only,3,8,cta
0.001,0.5,0.5430411071685567,0.5746561404597728,0.23022804463852498,0.5801975436024056,0.6306379520520113,0.24907297265042494,0.12906191295178193,tags_evidence_only,3,5,evidence
0.003,0.45,0.8287205830821286,0.8273018106778556,0.7860262008733624,0.8447946043098975,0.8340105648110524,0.2092650580588037,0.19814471257570823,tags_style_only_no_theme,3,25,claim+cta+evidence
0.01,0.4,0.7972915777244804,0.7952687694998457,0.7406598738476468,0.7732965336679034,0.8041446566436408,0.19353011691260877,0.1857171927391858,tags_drop_claim,3,24,cta+evidence+theme
